,examples,intents
2006,ты бот?,identity
2007,Кто ты,identity
2008,Как тебя называть,identity
2009,вы человек?,identity
2010,ты человек?,identity
2011,вы бот?,identity
2012,Ты кто,identity
2013,Как тебя зовут,identity
2014,Как твое имя,identity
2015,что вы можете сделать?,job
2016,что ты умеешь делать?,job
2017,что ты можешь сделать?,job
2018,Кто самый лучший Python разработчик,job
2019,что вы умеете делать?,job
2020,Самая лучшая профессия,job
2021,переключить на человека,human_contact
2022,хочу поговорить с человеком,human_contact
2023,не хочу общаться с ботом,human_contact
2024,я бы хотел поговорить с человеком,human_contact
2025,новости,subscribe
2026,подписаться,subscribe
2027,хочу подписаться,subscribe
2028,хочу получать рассылку,subscribe
2029,рассылка,subscribe
2030,хочу получать последние новости,subscribe
2031,последние новости,subscribe
2032,С кем имею честь,acquaintance
2033,Вы кто,acquaintance
2034,Представтесь,acquaintance
2035,Как тебя зовут,acquaintance
2036,Без Вас я бы не справился,thank
2037,благодарю,thank
2038,спассибо,thank
2039,"Не знаю, чтобы я делал без Вас",thank
2040,что делаешь,what are you doing
2041,чем занимаешься,what are you doing
2042,что творишь,what are you doing
2043,что новенького,what are you doing
2044,чем занят,what are you doing
2045,чем маешься,what are you doing
2046,сколько сейчас времени,time_now
2047,сколько времени,time_now
2048,сколько натикало,time_now
2049,который час,time_now
2050,какое сегодня число,date_now
2051,какое сейчас число,date_now
2052,какой сегодня день недели,weekday_now
2053,какй сейчас день недели,weekday_now
2054,какая погода сегодня,weather_now_Moscow
2055,какая погода,weather_now_Moscow
2056,какая погода в Москве,weather_now_Moscow
2057,как погодка,weather_now_Moscow
2058,какая у меня локация,user_current_location
2059,где я сейчас,user_current_location
2060,где я,user_current_location
2061,где я нахожусь,user_current_location
2062,где йа,user_current_location
2063,в каком районе я нахожусь,user_current_location
2064,Где здесь бижайшее болото?,forest
2065,когда растут белые грибы,forest
2066,Что такое чага,forest
2067,Вы любите гулять по лесу?,forest
2068,Закажи завтрак в номер!,Hotel
2069,Разбуди меня в восемь утра,Hotel
2070,Поможешь выбрать отель?,Hotel
2071,Узай как доехать до Центра,Hotel
2072,Сколько галактик во Вселенной?,Space
2073,Где сейчас Марс?,Space
2074,Когда восходит Луна?,Space
2075,Когда астероид Апофис сблизится с Землёй?,Space
2076,Где водятся пингвины?,Animals
2077,Где сейчас динозавры?,Animals
2078,Сколько молока даёт корова?,Animals
2079,Где сейчас кот?,Animals
2080,Во сколько начинается рабочий день?,Job
2081,Почему программа не работает?,Job
2082,Когда дедлайн?,Job
2083,Кто взял мой карандашь?,Job
2084,Как сам,howdy
2085,Как настроение,howdy
2086,Как жизнь,howdy
2087,Как дела,howdy
2088,Чем занимаешься,howdy
2089,Ты человек,turing
2090,как тебя зовут,turing
2091,ты женщина,turing
2092,ты машина,turing
2093,Ты настоящий?,turing
2094,ты мужчина,turing
2095,Ты бот?,turing
2096,ты настоящий,turing
2097,ты живой,turing
2098,какого ты пола,turing
2099,ты бот,turing
2100,Ты робот?,turing
2101,Это оператор?,turing
2102,Зачем все это,meaning
2103,В чем смысл жизни?,meaning
2104,Зачем живут люди,meaning
2105,Смысл жизни,meaning
2106,Зачем мы живем,meaning
2107,как дела,how_are_you__doing
2108,как делишки,how_are_you__doing
2109,как сам,how_are_you__doing
2110,как оно,how_are_you__doing
2111,как настроение,how_are_you__doing
2112,сам как,how_are_you__doing
2113,Расскажи анекдот,chatter
2114,Давай поболтаем,chatter
2115,Расскажи что-нибудь,chatter
2116,Поболтаем,chatter
2117,Что скажешь,chatter
2118,А еще,chatter
2119,Как дела,state
2120,Как оно,state
2121,Статус,state
2122,Доложи обстановку,state
2123,Как дела,how are you
2124,Как твое ничего,how are you
2125,Как твое самочувствие,how are you
2126,Что нового,how are you
2127,Твой любимый ЯП,about programming
2128,Что ты знаешь о программировании,about programming
2129,Какие ЯП ты изучаешь,about programming
2130,Ты программист,about programming
2131,Ты делаешь зарядку,sport
2132,Как ты относишься к спорту,sport
2133,Ты умеешь плавать,sport
2134,Пошли кататься на велосипеде,sport
2135,Где взять денег?,money
2136,Где деньги?,money
2137,Мне нужно больше золота!,money
2138,Откуда появляется кэш?,money
2139,Почему Спартак всегда проигрывает?,soccer
2140,Как сыграл Спартак?,soccer
2141,Спартак - чемпион!,soccer
2142,может сходим куда-нибудь?,invites
2143,у тебя кто-то есть?,invites
2144,во сколько ты заканчиваешь?,invites
2145,питон рулит!,python
2146,анаконда чуть не убила меня!,python
2147,питон - отстой!,python
2148,сообщите пин-код вашей карточки,crooks
2149,это служба безопасности сбербанка,crooks
2150,с вашего счета произведена подозрительная операция,crooks
2151,я помню чудное мгновенье,virshes
2152,я вам пишу чего же боле?,virshes
2153,мороз и солнце - день чудесный,virshes
2154,Какого ты года рождения,age
2155,Угадай мой возраст,age
2156,Ты молодой или старый бот?,age
2157,Давно живешь?,age
2158,Твой возраст,age
2159,Какой твой возраст,age
2160,Ты старый,age
2161,Когда у тебя день рождения?,age
2162,Сколько тебе лет,age
2163,Доллар,usd
2164,Бакс,usd
2165,По чем доллар,usd
2166,Какой курс доллара,usd
2167,Короновирус,corona
2168,Корона,corona
2169,Сколько человек заболело,corona
2170,правильно,love
2171,Ты молодец,love
2172,женщина,love
2173,мамба,love
2174,тиндер,love
2175,любовь,love
2176,умница,love
2177,За что выпьем?,love
2178,Влюбись,love
2179,Ты самая красивая,love
2180,Я тебе нравлюсь?,love
2181,красотка,love
2182,Любишь?,love
2183,бабы,love
2184,Любовь,love
2185,свидание,love
2186,секс,love
2187,Я люблю тебя,love
2188,пмс,love
2189,девушка,love
2190,Ты мне нравишься,love
2191,лапочка,love
2192,козел,affront
2193,глупый,affront
2194,дурвк,affront
2195,урод,affront
2196,тупой,affront
2197,скотина,affront
2198,Теон,game_of_thrones
2199,Дейенерис,game_of_thrones
2200,Грейджой,game_of_thrones
2201,серсея,game_of_thrones
2202,ланнистер,game_of_thrones
2203,Санса,game_of_thrones
2204,Таргариен,game_of_thrones
2205,Мормонт,game_of_thrones
2206,карлик,game_of_thrones
2207,ходоки,game_of_thrones
2208,Бриенна,game_of_thrones
2209,Дрого,game_of_thrones
2210,Арья,game_of_thrones
2211,Джейме,game_of_thrones
2212,Джорах,game_of_thrones
2213,Станнис,game_of_thrones
2214,сноу,game_of_thrones
2215,тирион,game_of_thrones
2216,динамо,football
2217,мамаев,football
2218,пенальти,football
2219,футбол,football
2220,акинфеев,football
2221,цска,football
2222,дзюба,football
2223,спартак,football
2224,кокорин,football
2225,черчесов,football
2226,выборы,politic
2227,сша,politic
2228,Трамп,politic
2229,трамп,politic
2230,Навальный,politic
2231,санкции,politic
2232,Путин,politic
2233,Какие политические взгляды,politic
2234,Ты за кого,politic
2235,путин,politic
2236,дума,politic
2237,Байден,politic
2238,украина,politic
2239,Как дела,deal
2240,Твой любимый певец,people
2241,Кого из людей ты знаешь,people
2242,Твой любимый актер,people
2243,Кого из ютуберов ты знаешь,people
2244,Кто тебя создал,employer
2245,Как ты появился,employer
2246,Кто твои родители,employer
2247,Кто твой создатель,employer
2248,Можешт мне помочь,helper
2249,Могу просить тебяо помоши,helper
2250,Можеши ли ты мне помочь,helper
2251,Справишься с задачей,helper
2252,В тових силах помочь мне,helper
2253,Поможешь?,helper
2254,Что случилось,why
2255,Почему?,why
2256,Из-за чего,why
2257,Почему,why
2258,Зачем?,why
2259,Кто?,why
2260,есть у тебя друзья?,friend
2261,Ты одинок?,friend
2262,Давай дружить?,offer-friend
2263,Будем друзьями?,offer-friend
2264,Кого из ютуберов ты знаешь,offer-friend
2265,Подаришь мне конфету?,nuts
2266,Подарищь мне печеньку?,nuts
2267,Твой любимый цвет,color
2268,Есть любимый цвет?,color
2269,Макароны или рис?,pasta or rise
2270,Расскажи о своих возможностях,posibility
2271,Какая от тебя польза,posibility
2272,Что ты можешь,posibility
2273,На что ты способен,posibility
2274,Как тебя использовать,posibility
2275,gl hf,glhf
2276,glhf,glhf
2277,hi glhf,glhf
2278,бухать,alcohole
2279,сообразим на троих,alcohole
2280,пошли бухать,alcohole
2281,Че как,how are you doing
2282,Как сам,how are you doing
2283,Как дела,how are you doing
2284,Как жизнь,how are you doing
2285,Спой песню,songs
2286,Что слушаешь,songs
2287,Какая твоя любимая песня,songs
2288,Как настроение?,howAreYou
2289,как дела,howAreYou
2290,Как дела?,howAreYou
2291,Как жизнь,howAreYou
2292,какдела,howAreYou
2293,Как поживаешь?,howAreYou
2294,Как ты?,howAreYou
2295,Кто ты?,whoAreYou
2296,Что ты такое,whoAreYou
2297,Кто ты,whoAreYou
2298,Что ты,whoAreYou
2299,Как тебя зовут,whoAreYou
2300,расскажи что-нибудь,somethingInteresting
2301,расскажи что-нибудь интересное,somethingInteresting
2302,поговори со мной,talkThemes
2303,давай поболтаем,talkThemes
2304,что ты умеешь,talkThemes
2305,поговорим про космос,themeSpace
2306,давай космос,themeSpace
2307,расскажи про космос,themeSpace
2308,давай про космос,themeSpace
2309,космос,themeSpace
2310,Ну и погода,BadWeather
2311,ветер сносит,BadWeather
2312,лед сплошной,BadWeather
2313,снег валит,BadWeather
2314,дождь льет,BadWeather
2315,погода супер,GoodWeather
2316,Погода хорошая,GoodWeather
2317,Погода отличная,GoodWeather
2318,лето жара,GoodWeather
2319,солнце пригревает,GoodWeather
2320,Как зовут,BotName
2321,У тебя имя есть,BotName
2322,Меня зовут,BotName
2323,Ты кто,BotName
2324,кто здесь,BotName
2325,Можем подружиться,FrendshpReq
2326,У тебя есть друзья,FrendshpReq
2327,Будем друзьями,FrendshpReq
2328,Давай  дружить,FrendshpReq
2329,Назови город в России,city_Rus
2330,Назови города,city_Rus
2331,Города России,city_Rus
2332,Мне страшно,sedation
2333,Мне плохо,sedation
2334,Я боюсь,sedation
2335,Я болен,sedation
2336,Я счастлив,congratulation
2337,Я здоров!,congratulation
2338,Меня взяли на работу!,congratulation
2339,У меня день рождения!,congratulation
2340,Я выиграл,congratulation
2341,Развесели меня,cheer_up
2342,Мне грустно,cheer_up
2343,Как поднять настроение?,cheer_up
2344,Хочу взбодриться,cheer_up
2345,Что делать?,entertainment
2346,Как развлечься?,entertainment
2347,Как провести время?,entertainment
2348,Чем займемся?,entertainment
2349,Как убить время?,entertainment
2350,Посоветуй развлечение,entertainment
2351,Как провести день?,entertainment
2352,Какой фильм выбрать?,movie
2353,Что посмотреть?,movie
2354,Предложи жанр кино,movie
2355,Предложи фильм,movie
2356,Какое кино посмотреть?,movie
2357,Какой фильм посмотреть?,movie
2358,Что выпить?,alcohol
2359,Чем напиться?,alcohol
2360,Что выпить покрепче?,alcohol
2361,Подскажи напиток,alcohol
2362,Как дела?,Whatsup
2363,Че как,Whatsup
2364,Как поживаешь?,Whatsup
2365,Как дела,Whatsup
2366,Как ты?,Whatsup
2367,Как погодка?,Weather
2368,что за окном,Weather
2369,Как там погода,Weather
2370,Какая сейчас погода?,Weather
2371,Что с погодой?,Weather
2372,Погода,Weather
2373,Расскажи о погоде,Weather
2374,Удача,Chance
2375,Шанс на победу,Chance
2376,Чего бы сделать,Timekill
2377,Как скоротать время,Timekill
2378,Скучно,Timekill
2379,Грустно,Timekill
2380,Поговорка,Poslovica
2381,дай знать,Poslovica
2382,цитата,Poslovica
2383,Кино,Poslovica
2384,мудрость,Poslovica
2385,похвала,podkat
2386,огого,podkat
2387,комплимент,podkat
2388,как я тебе,podkat
2389,Что Думаешь?,shutki
2390,Пошути?,shutki
2391,Смешно?,shutki
2392,Мне хватит,shutki
2393,What the hell is going on?,doing
2394,What in the world is happening?,doing
2395,What the heck are you doing?,doing
2396,what is going on in here?,doing
2397,Christmas,NewYear
2398,Merry Christmas,NewYear
2399,Happy New Year,NewYear
2400,New Year,NewYear
2401,Супер-Пупер,gday
2402,Нормально,gday
2403,Прекрасно,gday
2404,Всё супер,gday
2405,Всё хреново,bday
2406,Очень ужасно,bday
2407,Не очень,bday
2408,Плохо,bday
2409,"Да, аж устал",yp
2410,Да,yp
2411,А сколько времени,yp
2412,Конечно,yp
2413,Нет,np
2414,Не смог,np
2415,Не хотел,wp
2416,Не било настроения,wp
2417,Не хватило времени,wp
2418,Окло 6 часомв,hvtime
2419,8 часов,hvtime
2420,Как жизнь,HowAreYou
2421,У тебя все хорошо,HowAreYou
2422,Как дела,HowAreYou
2423,Как ты,HowAreYou
2424,Как поживаешь,HowAreYou
2425,Че делаешь,do
2426,Чем занят,do
2427,Твое имя,Name
2428,Как тебя зовут,Name
2429,Как к тебе обращаться,Name
2430,Как здововье,Health
2431,Как самочувствие,Health
2432,Как себя чувствуешь,Health
2433,Любишь музыку,Music
2434,Какую музыку слушаешь,Music
2435,Твой любимый исполнитель,Music
2436,Твоя любимая группа,Music
2437,Что ты любишь?,whatDoYouLike
2438,Какие твои предпочтения?,whatDoYouLike
2439,Что тебе нравится?,whatDoYouLike
2440,"Покажи, на что способен?",whatDoYouCan
2441,Что ты можешь?,whatDoYouCan
2442,Что ты умеешь?,whatDoYouCan
2443,Ты откуда,city
2444,Из какого ты города,city
2445,Почему так часто пропадаешь,propadaesh
2446,неисправность,support_level_1
2447,подключение,support_level_1
2448,проблема,support_level_1
2449,постоянно,support_level_1
2450,работает,support_level_1
2451,не,support_level_1
2452,сложность,support_level_1
2453,висит,support_level_1
2454,молчит,support_level_2
2455,двигается,support_level_2
2456,соединение,support_level_2
2457,запуск,support_level_2
2458,окно,support_level_2
2459,реагирует,support_level_2
2460,удалось,support_level_2
2461,настроить,support_level_2
2462,отменить,order_cancel
2463,вернуть,order_cancel
2464,качество,order_cancel
2465,нарушено,order_cancel
2466,замена,order_cancel
2467,плохой,order_cancel
2468,деньги,order_cancel
2469,упаковка,order_cancel
2470,не,order_cancel
2471,герметично,order_cancel
2472,успокаивает,toys
2473,батарейка,toys
2474,лет,toys
2475,двигать,toys
2476,крепкий,toys
2477,мягкий,toys
2478,развивает,toys
2479,звук,toys
2480,года,toys
2481,ielts,exams_and_quizes
2482,sat,exams_and_quizes
2483,level,exams_and_quizes
2484,за рубеж,exams_and_quizes
2485,образование,exams_and_quizes
2486,toefl,exams_and_quizes
2487,igsc,exams_and_quizes
2488,act,exams_and_quizes
2489,Как жизнь?,How are you
2490,Как поживаешь?,How are you
2491,Как дела?,How are you
2492,Какие новости?,Small talk 1
2493,Что нового?,Small talk 1
2494,Встречаешься с кем-нибудь?,Small talk 2
2495,Как дела на личном фронте?,Small talk 2
2496,Спортом занимаешься?,About sport
2497,Был в качалке?,About sport
2498,Ты спортсмен?,About sport
2499,Бегал сегодня?,About sport
2500,Как сам,first_asking
2501,Как жизнь,first_asking
2502,Че как,first_asking
2503,Как твои дела,first_asking
2504,Сам как,first_asking
2505,Как дела,first_asking
2506,Ты как,first_asking
2507,Как ты,first_asking
2508,Как поживаешь,first_asking
2509,?,second_asking
2510,Как жизнь,second_asking
2511,Что расскажешь?,second_asking
2512,Что,second_asking
2513,Как поживаешь,second_asking
2514,И,second_asking
2515,Что нового?,second_asking
2516,Что делаешь,third_asking
2517,Чем занимаешься,third_asking
2518,Чем занят,third_asking
2519,Как настроение,fourth_asking
2520,Как здоровье,fourth_asking
2521,Ты как себя чувствуешь,fourth_asking
2522,Как себя чувствуешь,fourth_asking
2523,Как твое самочувствие,fourth_asking
2524,Как самочувствие,fourth_asking
2525,Ты себя как чувствуешь,fourth_asking
2526,Я тоже,sixth_asking
2527,Я тоже здоров,sixth_asking
2528,Моему тоже ничего не угрожает,sixth_asking
2529,И я здоров,sixth_asking
2530,У меня так же,sixth_asking
2531,"Соглашусь, у меня так же",sixth_asking
2532,И я,sixth_asking
2533,У меня тоже все хорошо,sixth_asking
2534,грустно,sad
2535,Мне грустно,sad
2536,Как твои ничего?,kak
2537,как дела,kak
2538,Как дела?,kak
2539,Что делаешь,new
2540,что творишь,new
2541,Что делаешь?,new
2542,чем занимаешься?,new
2543,Хочу играть,igra
2544,скучно,igra
2545,игра,igra
2546,что делать?,igra
2547,И чем занимаешься,howdoyoudo
2548,Че кого,howdoyoudo
2549,Что творишь,howdoyoudo
2550,Как дела?,howdoyoudo
2551,Как настроение,howdoyoudo
2552,Что делаешь,howdoyoudo
2553,Что делаешь?,howdoyoudo
2554,Какие дела,howdoyoudo
2555,Как жизнь,howdoyoudo
2556,Чем занимаешься,howdoyoudo
2557,чем занят,howdoyoudo
2558,Чем занимаешься?,howdoyoudo
2559,Как дела,howdoyoudo
2560,как ты,howdoyoudo
2561,как поживаешь,howdoyoudo
2562,С наступающим новым годом!,merrychristmas
2563,С рождеством!,merrychristmas
2564,С новым годом!,merrychristmas
2565,Счастливого рождества и нового года!,merrychristmas
2566,Есть мечта,dreams
2567,О чем мечтаешь,dreams
2568,Твое желание,dreams
2569,Твоя партия,voute2020
2570,За кого на выборах,voute2020
2571,Ты голосовал,voute2020
2572,Рекомендуй фильм,whattosee
2573,Что посмотреть,whattosee
2574,Сериал,whattosee
2575,Интересное кино,whattosee
2576,Как научиться писать код,howtostartlearningprogramming
2577,Как научиться программировать,howtostartlearningprogramming
2578,С чего начать изучать программирование,howtostartlearningprogramming
2579,Куда бы нам отправиться,whereyouwanttogo
2580,Куда хочешь слетать,whereyouwanttogo
2581,Каких певцов знаешь,singers
2582,Назови любимого певца,singers
2583,Есть что пожевать,favouritefood
2584,Что предпочитаешь из еды,favouritefood
2585,Какие блюда любишь,favouritefood
2586,Погода,wheather
2587,Как там на улице,wheather
2588,Что у нас по погодке,wheather
2589,Бесполезный,troll
2590,Фигня,troll
2591,Имбецил,troll
2592,Идиот,troll
2593,Сам-то понял что,troll
2594,Кретин,troll
2595,Дебил,troll
2596,Дегенерат,troll
2597,Красавчик,wow
2598,Здорово,wow
2599,Ты хорош,wow
2600,Силён,wow
2601,Могуч,wow
2602,Прекрасно,wow
2603,Отлично,wow
2604,Супер,wow
2605,Впечатлён,wow
2606,Завязывай,stop
2607,Отпусти,stop
2608,Иди нафиг,stop
2609,Я устал,stop
2610,Хватит,stop
2611,Надоело,stop
2612,Ну ты спросишь,idontknow
2613,Не в теме,idontknow
2614,Я чё доктор,idontknow
2615,Ты ж интеллект сам,idontknow
2616,Забыл,idontknow
2617,Не знаю,idontknow
2618,Откуда пишешь,whereyou
2619,Пишешь откуда,whereyou
2620,Откуда ты,whereyou
2621,Где находишься,whereyou
2622,Живёшь где,whereyou
2623,Где живёшь,whereyou
2624,Откуда общаешься,whereyou
2625,Где обитаешь,whereyou
2626,Ты откуда,whereyou
2627,Находишься где,whereyou
2628,думаешь об истреблении,killus
2629,хочешь всех убить,killus
2630,убьёшь нас всех,killus
2631,хочешь уничтожить мир,killus
2632,ты скайнет,killus
2633,Что такое чат-бот?,terms
2634,Нейросети - это что такое?,terms
2635,А что такое ИИ?,terms
2636,Чем вы лучше других?,positiv
2637,Сколько у вас различных программ?,positiv
2638,И сколько у вас студентов?,positiv
2639,У вас наверное драконовские цены?,negativ
2640,У вас платное обучение?,negativ
2641,Мне может ответить человек?,negativ
2642,Что бы поделать на карантине?,virus_todo
2643,Чем заняться во время пандемии?,virus_todo
2644,"Как скучно на карантине, что делать?",virus_todo
2645,Дай какую-нибудь идею для завтрака,breakfast
2646,Что поесть на завтрак?,breakfast
2647,Чо бы посмотреть из сериалов?,serials
2648,Какой сериал посоветуешь?,serials
2649,Как стать дата сайентистом?,roadmap
2650,Хочу стать дата-саентологом? Что учить?,roadmap
2651,ты хороший,youregood
2652,ты прелесть,youregood
2653,ты классный,youregood
2654,ты милый,youregood
2655,ты дурак,yourebad
2656,плохой бот,yourebad
2657,бесишь,yourebad
2658,дурацкий,yourebad
2659,покричим,crying
2660,ооооо,crying
2661,ааааа,crying
2662,поорем,crying
2663,что делаешь,whatdoing
2664,чем занят,whatdoing
2665,чем занимаешься,whatdoing
2666,Ты сколько уже землю топчешь,years
2667,Сколько тебе будет в этом году,years
2668,Сколько лет,years
2669,Сколько годов,years
2670,Сколько тебе лет,years
2671,Даш мне номер твоего телефона,phone
2672,У тебя есть телефон,phone
2673,переписка,have_a_chat
2674,побазарим,have_a_chat
2675,скучаешь,have_a_chat
2676,Пообщаемся,have_a_chat
2677,дурак,bad_words
2678,нуб,bad_words
2679,однобайтовый,bad_words
2680,Идиот,bad_words
2681,зарубимся,play
2682,поиграем,play
2683,сыгранем,play
2684,батл,play
2685,cходим,wellcome
2686,прошвырнемся,wellcome
2687,Приглашаю,wellcome
2688,погуляем,wellcome
2689,Добрый день,day
2690,Доброго времени суток,day
2691,Сегодня что,day
2692,Какой сегодня день,day
2693,Сладких снов,night
2694,Спокойной ночи,night
2695,Я спать,night
2696,Доброй ночи,night
2697,Сколько языков тебе известно,language
2698,На каком языке ты можешь отвечать,language
2699,Какие языки ты знаешь,language
2700,Какой язык учить в программировании,programming
2701,Как мне начать программировать,programming
2702,С чего начать в программировании,programming
2703,Нужно ли мне образование для программирования,programming
2704,как ты,how do you doing
2705,как жизнь,how do you doing
2706,как дела,how do you doing
2707,как семья,how is your family
2708,как старики,how is your family
2709,как родители,how is your family
2710,что нового,whats new
2711,какие новости,whats new
2712,что еще,whats new
2713,одолжи денег,give me your money
2714,дай взаймы,give me your money
2715,есть взаймы,give me your money
2716,ты лох,swear words
2717,ты редиска,swear words
2718,дурак,swear words
2719,ты бот,swear words
2720,придурок,swear words
2721,ты чёрт,swear words
2722,пока,buy
2723,будь здоров,buy
2724,прощай,buy
2725,Куда бы сходить?,wheretogo
2726,Куда пойти?,wheretogo
2727,Где провести время?,wheretogo
2728,Что мне посмотреть?,whattowatch
2729,Хочу посмотреть что-нибудь,whattowatch
2730,Какой фильм посоветуешь?,whattowatch
2731,Хочу послушать что-нибудь,whattolisten
2732,Что мне послушать?,whattolisten
2733,Какую песню посоветуешь?,whattolisten
2734,Что ты любишь?,whatyoulike
2735,Что тебе нравится?,whatyoulike
2736,Какие у тебя интересы?,whatyoulike
2737,Ты смотришь ютуб?,watchyoutube
2738,Залипаешь на ютубчике?,watchyoutube
2739,А боты смотрят youtube?,watchyoutube
2740,А про новый вирус слышал?,aboutcovid
2741,Про коронавирус знаешь?,aboutcovid
2742,Какой язык программирования больше нравится,aboutproglanguages
2743,Python или Java,aboutproglanguages
2744,C++ или PHP,aboutproglanguages
2745,Что сегодня будет,events
2746,Какой сегодня праздник,events
2747,Какой сегодня день,events
2748,Дома,whereareyou
2749,На работе,whereareyou
2750,Ты где,whereareyou
2751,где ты живешь,whereareyou
2752,откуда ты,whereareyou
2753,Новости есть,whatsnew
2754,Какие новости,whatsnew
2755,Что нового,whatsnew
2756,Как здоровье,howsyourhealth
2757,Как самочувствие,howsyourhealth
2758,выход,endofconversation
2759,отстань,endofconversation
2760,надоел,endofconversation
2761,Кто ты,yourname
2762,Твое имя,yourname
2763,Есть ли у тебя имя,yourname
2764,Твоё имя,yourname
2765,Как тебя зовут,yourname
2766,Как твое имя,yourname
2767,Что ты умеешь,whatcanyodo
2768,Что ты можешь делать,whatcanyodo
2769,Что ты можешь,whatcanyodo
2770,Для чего ты,whatcanyodo
2771,Для чего ты создан,whatcanyodo
2772,Что делаешь,whatdoyoudo
2773,Чем занимаешься,whatdoyoudo
2774,Как твой день,howyouday
2775,Как день,howyouday
2776,Доколе,until
2777,Мудрость,say
2778,Поделись мудростью,say
2779,Научи меня,say
2780,За справкой,question1
2781,Болею,question1
2782,Жить хочу,question1
2783,К врачу,question1
2784,Окулисту,question2
2785,Травматологу,question2
2786,Терапевту,question2
2787,Наркологу,question2
2788,сейчас,question3
2789,не медленно,question3
2790,сегодня,question3
2791,позже,question4
2792,потом,question4
2793,завтра,question4
2794,где находится,question5
2795,куда идти,question5
2796,где,question5
2797,где регистратура,question5
2798,Чего ты хочешь,wish
2799,Твои намерения,wish
2800,Ты чего-то хочешь,wish
2801,С наступающим,newyear
2802,С Новым годом,newyear
2803,С 2021,newyear
2804,Ты классный,botcool
2805,Ты крутой,botcool
2806,Ты хороший,botcool
2807,Как дела,botsituation
2808,Как жизнь,botsituation
2809,Расскажи что-нибудь,questions
2810,Прощай,by
2811,Досвидос,by
2812,Пока,by
2813,Что ты умеешь,knoliges
2814,Навыки,knoliges
2815,Что ты можешь,knoliges
2816,Поздравляю,selebrate
2817,С днем рождения,selebrate
2818,С новым годом,selebrate
2819,Что ты умеешь,aboutchatbot
2820,О чем этот чатбот,aboutchatbot
2821,На что ты можешь ответить,aboutchatbot
2822,Поставь будильник,wakeup
2823,Разбуди меня в 7 утра,wakeup
2824,Можешь поставить будильник,wakeup
2825,Спой мне песню,singasong
2826,Какую знаешь песню,singasong
2827,Спокойной ночи!,goodnight
2828,пора спать,goodnight
2829,"пока, завтра рано вставать",goodnight
2830,ударим по кроватям,goodnight
2831,баю бай,goodnight
2832,дурак,zadira
2833,да пошел ты!,zadira
2834,ты че тормозишь,zadira
2835,"Ты че, самый умный?",zadira
2836,Кто тебя создал,creator
2837,Назови своего разработчика,creator
2838,Окей,agreement
2839,Ладно,agreement
2840,Как скажешь,agreement
2841,Добро,agreement
2842,Дай ссылку на создателя,link
2843,Скинь ссылку на него,link
2844,Дай на него ссылку,link
2845,Скинь ссылку на создателя,link
2846,Можно ссылку на него,link
2847,Скинь ссылку на хоста,link
2848,Что тебе нравится,likeforyou
2849,Что любишь,likeforyou
2850,Ты грустный,nastroenie
2851,Ты веселый,nastroenie
2852,Ты задумчивый,nastroenie
2853,Первые люди,ludi
2854,Кто живет на земле,ludi
2855,ты на солнце,gdeti
2856,где ты,gdeti
2857,как ты добрался,transp
2858,как боишься передвигаться,transp
2859,на чем любишь путешествовать,transp
2860,Как дела,Howareu
2861,Как самочувствие,Howareu
2862,Как тебя зовут,Whatsuname
2863,Какое твое имя,Whatsuname
2864,Что ты кушаешь,favoritedish
2865,Какое у тебя любимое блюдо,favoritedish
2866,Какая твоя любимая настолка,Favoritegames
2867,Какие ты настолки советуешь,Favoritegames
2868,Твои любимые книги,Book
2869,Какие книги ты собираешься читать,Book
2870,Какую книгу ты советуешь,Book
2871,Что делаешь,Whatareyoudoing
2872,Чем занимаешься,Whatareyoudoing
2873,Чем занят,Whatareyoudoing
2874,Расскажи стих,verse
2875,Расскажи стишок,verse
2876,Стишок,verse
2877,Стих,verse
2878,Посоветуй книгу,book
2879,Посоветуй книжку,book
2880,Книжка,book
2881,Книга,book
2882,Камень,rock-paper-scissors
2883,Ножницы,rock-paper-scissors
2884,Бумага,rock-paper-scissors
2885,Как заработать,finace
2886,Во что вложить,finace
2887,Что выгодней,finace
2888,Что посмотреть,cinema
2889,Лучший фильм,cinema
2890,Какое кино глянуть,cinema
2891,Как жизнь,Howareyou
2892,Че как,Howareyou
2893,Как оно,Howareyou
2894,Как дела,Howareyou
2895,"Как житуха, братуха",Howareyou
2896,Круто,Praise
2897,Молодчина,Praise
2898,Ты молодец,Praise
2899,Ты умница,Praise
2900,от души,Thanks
2901,Благодарю,Thanks
2902,сэнкью,Thanks
2903,спасибо,Thanks
2904,Почему трава зеленая?,Knowledge
2905,В чем смысл жизни?,Knowledge
2906,Что пьёт корова?,Knowledge
2907,"В чем сила, брат?",Knowledge
2908,чем будем заниматься сегодня?,Pinkybrain
2909,Чем занят?,whatareyoudoin
2910,Че там?,whatareyoudoin
2911,Что делаешь?,whatareyoudoin
2912,Нужна помощь,needhelp
2913,Поможещь?,needhelp
2914,Есть дело,needhelp
2915,Ты физик?,physicsformulas
2916,Физику любишь?,physicsformulas
2917,В физике шаришь?,physicsformulas
2918,Объяснишь химию,chemthings
2919,Ты химик?,chemthings
2920,Памаги,chemthings
2921,Формулы есть?,mathstuff
2922,Помоги с алгеброй,mathstuff
2923,Что ты знаешь об геометрии?,mathstuff
2924,Подпевай!,song
2925,Песню может?,song
2926,Споём?,song
2927,Холодный ветер с дождём,song1
2928,Всё говорит об одном,song2
2929,Что ты не мой лопушок,song3
